,btc_adj_close,eth_adj_close,sp500_adj_close,vti_adj_close,agg_adj_close,tlt_adj_close
count,590.0,426.0,627.0,627.0,627.0,627.0
mean,9.059614646257211,6.937006018146999,8.081807895328902,5.006029487630155,4.490275052233974,4.593012116834978
std,1.9089649021312174,1.1529789647086082,0.3794346555461136,0.4232940703726091,0.07339911716887401,0.1532855823723888
min,5.338004317736194,4.434480273019832,7.485822622723248,4.328715137192194,4.340006007798315,4.294805011085582
25%,7.9232744985160934,5.851384712232968,7.726453879211257,4.614895698999392,4.436760905659423,4.478654356350956
50%,9.271829138404227,7.4123662891301,8.008827836232046,4.935379170831653,4.481185882841436,4.558986751654436
75%,10.646779383632548,7.893956923992953,8.38797809346501,5.351760739316669,4.5500673008965515,4.666907349268103
max,11.713958623143924,8.482880927715952,8.84360642568265,5.827974597580856,4.620092622811655,4.9715874663880495
skewness,-0.5652116438021899,-0.561856838317817,0.22641325497968573,0.14996269020150219,0.14784565277593442,0.7448346120796946
kurtosis,-0.9039970023499442,-1.1684605766719822,-1.1521453656199196,-1.201788383661827,-1.0666590813704053,-0.27880698051799824
