,btc_adj_close,eth_adj_close,sp500_adj_close,vti_adj_close,agg_adj_close,tlt_adj_close
count,590.0,426.0,627.0,627.0,627.0,627.0
mean,9.059614646257211,6.937006018146999,8.081807895328902,5.006029488288423,4.49027505287298,4.593012135324435
std,1.9089649021312174,1.1529789647086082,0.3794346555461136,0.4232940661190225,0.0733991241046868,0.15328557780899124
min,5.338004317736194,4.434480273019832,7.485822622723248,4.328714835423422,4.340005510497093,4.294805635439832
25%,7.9232744985160934,5.851384712232968,7.726453879211257,4.614895698841591,4.436761041152222,4.478654399640607
50%,9.271829138404227,7.4123662891301,8.008827836232046,4.935379390183895,4.4811859692060345,4.558986831554526
75%,10.646779383632548,7.893956923992953,8.38797809346501,5.351760739316669,4.550067341211234,4.666907241751406
max,11.713958623143924,8.482880927715952,8.84360642568265,5.827974597580856,4.620092697975559,4.971587149060053
skewness,-0.5652116438021899,-0.561856838317817,0.22641325497968573,0.149962688326319,0.14784680813861328,0.7448346467701611
kurtosis,-0.9039970023499442,-1.1684605766719822,-1.1521453656199196,-1.2017882958728219,-1.0666591233172253,-0.2788073177022028
