,btc_adj_close,eth_adj_close,sp500_adj_close,vti_adj_close,agg_adj_close,tlt_adj_close
count,589.0,425.0,626.0,626.0,626.0,626.0
mean,0.009169992885691067,0.005397717538129835,0.002106273457046857,0.0023370943470908128,0.0004114874110330018,0.00026486060470457136
std,0.09195497595048276,0.12024625709715896,0.022957656695816404,0.023506822500657432,0.006824193031723081,0.019361699397587983
min,-0.4944843023255069,-0.6033554675491045,-0.16227902025217159,-0.16555733461773234,-0.05224957339819759,-0.08005209388212847
25%,-0.031137762086571773,-0.056783521877617205,-0.008588363425048711,-0.008949681908046594,-0.0027366834054938683,-0.010550012637721647
50%,0.006961098313610977,0.0025242738200679203,0.0036492934914688292,0.003923769624252593,0.0006158735576219218,0.001175314866052528
75%,0.05174398683367765,0.0704413335086107,0.014594228122507637,0.014992971104566457,0.0040858735895277914,0.01251506616056707
max,0.41188305275938836,0.506363113842182,0.11423674659145207,0.12179133460920387,0.0491234618096785,0.07266767054341743
skewness,-0.22399052796952226,-0.35875789159962873,-0.9110394052910264,-0.8759872265355664,-0.22809382457046667,-0.35150039071815464
kurtosis,3.1311476397580464,3.1732037099525394,7.391891671035726,7.478014167141517,10.09217827826711,1.2891036420408941
